"","convergence","time","mu","x_C","C","A","p","tau ctr","tau enz","tau r","v ctr","v enz","v r","p ctr","p enz","p r","q ctr","q enz","q r","dq ctr","dq enz","dq r"
"1835",0,1.834,1.25694807372466,10,0.170607331834966,0.17113047687453,0.658262191290504,0.144285714285714,0.19950104814702,0.28410944823749,427.362345066384,375.504909430655,307.040970821088,61.6622812167211,74.9136230157676,87.2332408062828,1,0.829392668165034,0.658262191290504,0,0.0619226875964163,0.0756602855371824
"1836",0,1.835,1.25694029815013,10,0.17054587604895,0.17111592425062,0.65833819970043,0.144285714285714,0.199521459638657,0.284119436206983,427.359701371043,375.37023395826,307.190075799871,61.6618997692505,74.8944169842561,87.2786711446396,1,0.82945412395105,0.65833819970043,0,0.0614557860163512,0.0760084099257208
"1837",0,1.836,1.25695077319522,10,0.170484903583081,0.171100560581773,0.658414535835146,0.144285714285714,0.199541725146325,0.284129982668375,427.363262886376,375.234916613664,307.336470169738,61.6624136450343,74.8750225962281,87.3235059426872,1,0.829515096416919,0.658414535835146,0,0.0609724658688915,0.0763361347159153
"1838",0,1.837,1.25697980757236,10,0.170424431059777,0.171084390051757,0.658491178888466,0.144285714285714,0.199561838810206,0.28414108504935,427.373134574602,375.098969187811,307.480077340279,61.6638379886212,74.8554400269325,87.3677228065249,1,0.829575568940223,0.658491178888466,0,0.0604725233038783,0.0766430533205575
"1839",0,1.838,1.25702771715743,10,0.170364475299591,0.171067417069402,0.658568107631008,0.144285714285714,0.19958179469095,0.284152740636747,427.389423833525,374.962407356932,307.62081653955,61.6661882959801,74.8356702019356,87.4112980966269,1,0.829635524700409,0.658568107631008,0,0.0599557601864698,0.0769287425411713
"1840",0,1.839,1.25709392386797,10,0.170305052380065,0.171049646307101,0.658645301312833,0.144285714285714,0.19960158708333,0.284164946549704,427.411934115111,374.825314926381,307.758713950718,61.6694362080375,74.8157277383146,87.4542385000113,1,0.829694947619935,0.658645301312833,0,0.0594229195253204,0.0771936818257934
"1841",0,1.84,1.25717822577644,10,0.170246177995667,0.17103108274575,0.658722739258583,0.144285714285714,0.19962121039741,0.284177699708324,427.440596763989,374.687759539977,307.893742325507,61.6735718188041,74.7956240804641,87.49653544865,1,0.829753822004333,0.658722739258583,0,0.0588743843977779,0.0774379457494367
"1842",0,1.841,1.25728136556435,10,0.170187868542735,0.171011731480073,0.658800399977192,0.144285714285714,0.199640658797304,0.284190996966943,427.475664291879,374.549706129206,308.025782943231,61.678631562114,74.7753500839713,87.53815434616,1,0.829812131457265,0.658800399977192,0,0.0583094529325034,0.0776607186094846
"1843",0,1.842,1.25740311936963,10,0.170130140041236,0.170991597863454,0.65887826209531,0.144285714285714,0.199659926560701,0.284204835014188,427.517060585674,374.411213707759,308.154818054753,61.684604455933,74.7549154323942,87.5790892240782,1,0.829869859958764,0.65887826209531,0,0.057728501498655,0.0778621181175554
"1844",0,1.843,1.25754300047731,10,0.170073007859614,0.170970687516264,0.658956304624122,0.144285714285714,0.19967900817157,0.284219210366735,427.564620162287,374.272360908625,308.280861886367,61.6914666234157,74.7343338122661,87.6193431365197,1,0.829926992140386,0.658956304624122,0,0.0571321816226211,0.0780425288123832
